plantID	nShoots	heightIndex	finalShootHeight	abovegroundVolume	nFlowers	FFDindex	FFD	nPodsTotal	fruitsPerFlower	seedsPerFruit	nIntactSeeds	propPredSeeds	Mum	Dad	grazingY0
ind299:4	5	observed	251	5583.255743	25	noBudSize	124.1098725	17	0.68	4.2	11.7918824	0.723995447	19:5:2	11:5:3	0
ind104:1	2	model	266.6200593	4841.395161	40	observed	121.5	15	0.375	3.2	6	0.883333333	15:3:1	16:1:2	0
ind311:1	2	observed	210	1931.834438	127	observed	128.5	10	0.078740157	3.8	5.651973144	0.902848794	32:5:1	11:8:1	1
ind120:3	5	observed	293	9945.397983	25	noBudSize15	119.3048068	10	0.4	4.8	22	0.55	19:1:4	8:5:1	0
ind307:2	2	model	205.1591756	1764.584813	8	noBudSize	128.9149382	1	0.125	4	0	1	32:5:1	11:8:1	0
ind616:1	4	observed	192	2788.226312	5	noBudSize	124.1098725	2	0.4	9	0	1	24:1:1	12:8:2	0
ind530:5	2	model	188.8928591	1283.695702	8	observed	126	0	0	NA	NA	NaN	32:8:3	39:3:3	1
ind185:1	2	observed	241	1933.542836	5	noBudSize	128.9149382	5	1	5	2	0.791666667	21:5:3	9:6:2	0
ind264:5	2	observed	283	3687.154094	54	observed	122	29	0.537037037	3.6	1.553658327	0.985312985	6:2:3	27:4:4	1
ind483:3	2	observed	224	2778.308932	15	observed	132	10	0.666666667	7.2	12	0.78	4:1:6	32:2:2	1
ind453:1	3	observed	144	618.359682	2	observed	139	2	1	1.5	3	0	19:5:1	7:1:1	1
ind64:4	2	model	214.8999898	2109.775716	30	observed	128	12	0.4	5.4	24	0.663333333	12:8:2	39:4:2	1
ind510:2	3	model	165.9954203	1170.57555	8	noBudSize	124.1098725	1	0.125	9	9	0	10:3:1	9:6:2	0
ind264:4	5	model	190.7995164	3335.815835	14	noBudSize	124.1098725	3	0.214285714	9.666666667	17.65104727	0.421753977	6:2:3	24:2:1	0
ind576:1	2	observed	181	1160.115397	7	model	140.8087021	1	0.142857143	3	2	0.333333333	12:4:6	31:3:5	0
ind157:3	1	model	268.8161176	2498.400574	39	noBudSize	124.1098725	15	0.384615385	7.4	44.59835569	0.607370035	19:6:5	16:1:2	0
ind359:1	3	observed	169	2124.818312	2	noBudSize15	119.3048068	1	0.5	7	1	0.857142857	16:1:1	12:7:5	0
ind530:1	1	observed	185	646.8841652	2	noBudSize	128.9149382	0	0	NA	NA	NaN	32:8:3	39:3:3	0
ind556:6	7	model	238.4753422	11026.2389	13	noBudSize	128.9149382	6	0.461538462	8.4	20.4	0.533424908	12:3:4	14:5:5	0
ind438:1	1	model	178.5810697	517.044305	3	noBudSize	124.1098725	0	0	NA	NA	NaN	32:2:2	6:5:1	0
ind67:5	4	model	212.4826941	4039.649183	54	observed	128	24	0.444444444	6.4	52.8	0.675396825	12:8:2	8:5:1	1
ind218:1	9	observed	233	5636.788874	79	model	125.0573915	23	0.291139241	6.2	84.37132197	0.469512867	38:2:1	27:4:4	0
ind557:2	3	observed	267	2083.843854	9	model	131.1784945	0	0	NA	NA	NaN	12:3:4	8:3:2	0
ind271:1	2	observed	394	5204.896461	32	noBudSize	124.1098725	17	0.53125	4.2	22.40984587	0.717257924	9:7:3	35:2:2	0
ind270:2	2	observed	203	1628.668862	8	observed	128	5	0.625	6.6	11	0.653333333	9:7:3	31:3:4	1
ind23:2	4	observed	238	2263.733648	23	noBudSize	128.9149382	10	0.434782609	3.6	10	0.763333333	12:3:1	11:1:2	0
ind484:3	2	observed	234	2719.402813	11	noBudSize	139.6170168	5	0.454545455	4.4	10	0.519047619	4:1:6	12:10:2	0
ind159:2	5	observed	241	3598.704202	59	noBudSize15	119.3048068	16	0.271186441	6.8	25.09767881	0.797902659	19:6:5	6:1:2	0
